Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,1,201001,Adelaide,Brisbane,Adelaide - Brisbane,208,297.4,,,,,,,,
2010,1,201001,Adelaide,Canberra,Adelaide - Canberra,258,368.8,,,,,,,,
2010,1,201001,Adelaide,Darwin,Adelaide - Darwin,358,511.8,,,,,,,,
2010,1,201001,Adelaide,Gold Coast,Adelaide - Gold Coast,128,183,,,,,,,,
2010,1,201001,Adelaide,Melbourne,Adelaide - Melbourne,86,122.9,,,,,,,,
2010,1,201001,Adelaide,Perth,Adelaide - Perth,288,411.7,,,,,,,,``
2010,1,201001,Adelaide,Port Lincoln,Adelaide - Port Lincoln,213,304.3,,,,,,,,
2010,1,201001,Adelaide,Sydney,Adelaide - Sydney,116,165.8,,,,,,,,
2010,1,201001,Albury,Sydney,Albury - Sydney,133,190.1,,,,,,,,
2010,1,201001,Alice Springs,Darwin,Alice Springs - Darwin,428,611.9,,,,,,,,
2010,1,201001,Alice Springs,Melbourne,Alice Springs - Melbourne,166,237.3,,,,,,,,
2010,1,201001,Alice Springs,Sydney,Alice Springs - Sydney,458,654.8,,,,,,,,
2010,1,201001,Avalon,Brisbane,Avalon - Brisbane,158,225.9,,,,,,,,
2010,1,201001,Avalon,Sydney,Avalon - Sydney,78,111.5,,,,,,,,
2010,1,201001,Ayers Rock,Cairns,Ayers Rock - Cairns,628,897.8,,,,,,,,
2010,1,201001,Ayers Rock,Sydney,Ayers Rock - Sydney,618,883.5,,,,,,,,
2010,1,201001,Ballina,Sydney,Ballina - Sydney,148,211.6,,,,,,,,
2010,1,201001,Brisbane,Cairns,Brisbane - Cairns,188,268.8,,,,,,,,
2010,1,201001,Brisbane,Canberra,Brisbane - Canberra,158,225.9,,,,,,,,
2010,1,201001,Brisbane,Darwin,Brisbane - Darwin,258,368.8,,,,,,,,
2010,1,201001,Brisbane,Emerald,Brisbane - Emerald,365,521.8,,,,,,,,
2010,1,201001,Brisbane,Gladstone,Brisbane - Gladstone,224,320.2,,,,,,,,
2010,1,201001,Brisbane,Hamilton Island,Brisbane - Hamilton Island,120,171.6,,,,,,,,
2010,1,201001,Brisbane,Hobart,Brisbane - Hobart,348,497.5,,,,,,,,
2010,1,201001,Brisbane,Mackay,Brisbane - Mackay,108,154.4,,,,,,,,
2010,1,201001,Brisbane,Melbourne,Brisbane - Melbourne,218,311.7,,,,,,,,
2010,1,201001,Brisbane,Mount Isa,Brisbane - Mount Isa,471,673.4,,,,,,,,
2010,1,201001,Brisbane,Perth,Brisbane - Perth,438,626.2,,,,,,,,
2010,1,201001,Brisbane,Proserpine,Brisbane - Proserpine,128,183,,,,,,,,
2010,1,201001,Brisbane,Rockhampton,Brisbane - Rockhampton,87,124.4,,,,,,,,
2010,1,201001,Brisbane,Sydney,Brisbane - Sydney,128,183,,,,,,,,
2010,1,201001,Brisbane,Townsville,Brisbane - Townsville,148,211.6,,,,,,,,
2010,1,201001,Brisbane,Newcastle,Brisbane - Newcastle,78,111.5,,,,,,,,
2010,1,201001,Broome,Perth,Broome - Perth,278,397.4,,,,,,,,
2010,1,201001,Bundaberg,Brisbane,Bundaberg - Brisbane,224,320.2,,,,,,,,
2010,1,201001,Cairns,Melbourne,Cairns - Melbourne,348,497.5,,,,,,,,
2010,1,201001,Cairns,Sydney,Cairns - Sydney,368,526.1,,,,,,,,
2010,1,201001,Cairns,Townsville,Cairns - Townsville,108,154.4,,,,,,,,
2010,1,201001,Canberra,Melbourne,Canberra - Melbourne,76,108.7,,,,,,,,
2010,1,201001,Canberra,Sydney,Canberra - Sydney,98,140.1,,,,,,,,
2010,1,201001,Coffs Harbour,Sydney,Coffs Harbour - Sydney,118,168.7,,,,,,,,
2010,1,201001,Darwin,Melbourne,Darwin - Melbourne,268,383.1,,,,,,,,
2010,1,201001,Darwin,Perth,Darwin - Perth,364,520.4,,,,,,,,
2010,1,201001,Darwin,Sydney,Darwin - Sydney,448,640.5,,,,,,,,
2010,1,201001,Devonport,Melbourne,Devonport - Melbourne,240,343.1,,,,,,,,
2010,1,201001,Dubbo,Sydney,Dubbo - Sydney,247,353.4,,,,,,,,
2010,1,201001,Geraldton,Perth,Geraldton - Perth,222,317.9,,,,,,,,
2010,1,201001,Gold Coast,Sydney,Gold Coast - Sydney,76,108.7,,,,,,,,
2010,1,201001,Hamilton Island,Sydney,Hamilton Island - Sydney,288,411.7,,,,,,,,
2010,1,201001,Hervey Bay,Sydney,Hervey Bay - Sydney,280,400.3,,,,,,,,
2010,1,201001,Hobart,Melbourne,Hobart - Melbourne,96,137.2,,,,,,,,
2010,1,201001,Hobart,Sydney,Hobart - Sydney,178,254.5,,,,,,,,
2010,1,201001,Kalgoorlie,Perth,Kalgoorlie - Perth,248,354.5,,,,,,,,
2010,1,201001,Karratha,Perth,Karratha - Perth,308,440.3,,,,,,,,
2010,1,201001,Launceston,Melbourne,Launceston - Melbourne,86,122.9,,,,,,,,
2010,1,201001,Launceston,Sydney,Launceston - Sydney,199,284.4,,,,,,,,
2010,1,201001,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,178,254.5,,,,,,,,
2010,1,201001,Sunshine Coast,Sydney,Sunshine Coast - Sydney,188,268.8,,,,,,,,
2010,1,201001,Melbourne,Gold Coast,Melbourne - Gold Coast,118,168.7,,,,,,,,
2010,1,201001,Melbourne,Mildura,Melbourne - Mildura,174,248.8,,,,,,,,
2010,1,201001,Melbourne,Perth,Melbourne - Perth,316,451.8,,,,,,,,
2010,1,201001,Melbourne,Sydney,Melbourne - Sydney,56,80.1,,,,,,,,
2010,1,201001,Melbourne,Newcastle,Melbourne - Newcastle,144,205.9,,,,,,,,
2010,1,201001,Paraburdoo,Perth,Paraburdoo - Perth,453,647.6,,,,,,,,
2010,1,201001,Perth,Newman,Perth - Newman,358,511.8,,,,,,,,
2010,1,201001,Perth,Port Hedland,Perth - Port Hedland,258,368.8,,,,,,,,
2010,1,201001,Perth,Sydney,Perth - Sydney,378,540.4,,,,,,,,
2010,1,201001,Port Macquarie,Sydney,Port Macquarie - Sydney,144,205.9,,,,,,,,
2010,1,201001,Sydney,Tamworth,Sydney - Tamworth,261,373.1,,,,,,,,
2010,1,201001,Sydney,Townsville,Sydney - Townsville,198,283.1,,,,,,,,
2010,1,201001,Sydney,Wagga Wagga,Sydney - Wagga Wagga,230,329.4,,,,,,,,
2010,1,201001,Newcastle,Gold Coast,Newcastle - Gold Coast,130,185.9,,,,,,,,
2010,2,201002,Adelaide,Brisbane,Adelaide - Brisbane,278,397.4,,,,,,,,
2010,2,201002,Adelaide,Canberra,Adelaide - Canberra,274,391.7,,,,,,,,
2010,2,201002,Adelaide,Darwin,Adelaide - Darwin,579,827.8,,,,,,,,
2010,2,201002,Adelaide,Gold Coast,Adelaide - Gold Coast,136,193.9,,,,,,,,
2010,2,201002,Adelaide,Melbourne,Adelaide - Melbourne,82,116.7,,,,,,,,
2010,2,201002,Adelaide,Perth,Adelaide - Perth,368,526.1,,,,,,,,
2010,2,201002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,178,254,,,,,,,,
2010,2,201002,Adelaide,Sydney,Adelaide - Sydney,118,168.1,,,,,,,,
2010,2,201002,Albury,Sydney,Albury - Sydney,138,197.3,,,,,,,,
2010,2,201002,Alice Springs,Darwin,Alice Springs - Darwin,508,726.2,,,,,,,,
2010,2,201002,Alice Springs,Melbourne,Alice Springs - Melbourne,176,251.6,,,,,,,,
2010,2,201002,Alice Springs,Sydney,Alice Springs - Sydney,538,769.1,,,,,,,,
2010,2,201002,Avalon,Brisbane,Avalon - Brisbane,178,254.5,,,,,,,,
2010,2,201002,Avalon,Sydney,Avalon - Sydney,98,140.1,,,,,,,,
2010,2,201002,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1198,,,,,,,,
2010,2,201002,Ayers Rock,Sydney,Ayers Rock - Sydney,818,1169.4,,,,,,,,
2010,2,201002,Ballina,Sydney,Ballina - Sydney,178,254.5,,,,,,,,
2010,2,201002,Brisbane,Cairns,Brisbane - Cairns,208,297.4,,,,,,,,
2010,2,201002,Brisbane,Canberra,Brisbane - Canberra,178,254.5,,,,,,,,
2010,2,201002,Brisbane,Darwin,Brisbane - Darwin,248,354.5,,,,,,,,
2010,2,201002,Brisbane,Emerald,Brisbane - Emerald,369,527.5,,,,,,,,
2010,2,201002,Brisbane,Gladstone,Brisbane - Gladstone,254,363.1,,,,,,,,
2010,2,201002,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,225.9,,,,,,,,
2010,2,201002,Brisbane,Hobart,Brisbane - Hobart,508,726.2,,,,,,,,
2010,2,201002,Brisbane,Mackay,Brisbane - Mackay,178,254.5,,,,,,,,
2010,2,201002,Brisbane,Melbourne,Brisbane - Melbourne,238,340.3,,,,,,,,
2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544,777.7,,,,,,,,
2010,2,201002,Brisbane,Perth,Brisbane - Perth,438,626.2,,,,,,,,
2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158,225.9,,,,,,,,
2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87,124.4,,,,,,,,
2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148,211.6,,,,,,,,
2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188,268.8,,,,,,,,
2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88,125.8,,,,,,,,
2010,2,201002,Broome,Perth,Broome - Perth,278,397.4,,,,,,,,
2010,2,201002,Bundaberg,Brisbane,Bundaberg - Brisbane,274,391.7,,,,,,,,
2010,2,201002,Cairns,Melbourne,Cairns - Melbourne,378,540.4,,,,,,,,
2010,2,201002,Cairns,Sydney,Cairns - Sydney,358,511.8,,,,,,,,
2010,2,201002,Cairns,Townsville,Cairns - Townsville,118,168.7,,,,,,,,
2010,2,201002,Canberra,Melbourne,Canberra - Melbourne,76,108.7,,,,,,,,
2010,2,201002,Canberra,Sydney,Canberra - Sydney,128,183,,,,,,,,
2010,2,201002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,313.1,,,,,,,,
2010,2,201002,Darwin,Melbourne,Darwin - Melbourne,318,454.6,,,,,,,,
2010,2,201002,Darwin,Perth,Darwin - Perth,398,569,,,,,,,,
2010,2,201002,Darwin,Sydney,Darwin - Sydney,438,626.2,,,,,,,,
2010,2,201002,Devonport,Melbourne,Devonport - Melbourne,270,386,,,,,,,,
2010,2,201002,Dubbo,Sydney,Dubbo - Sydney,248,354.5,,,,,,,,
2010,2,201002,Geraldton,Perth,Geraldton - Perth,363,519,,,,,,,,
2010,2,201002,Gold Coast,Sydney,Gold Coast - Sydney,76,108.7,,,,,,,,
2010,2,201002,Hamilton Island,Sydney,Hamilton Island - Sydney,268,383.1,,,,,,,,
2010,2,201002,Hervey Bay,Sydney,Hervey Bay - Sydney,380,543.3,,,,,,,,
2010,2,201002,Hobart,Melbourne,Hobart - Melbourne,66,94.4,,,,,,,,
2010,2,201002,Hobart,Sydney,Hobart - Sydney,208,297.4,,,,,,,,
2010,2,201002,Kalgoorlie,Perth,Kalgoorlie - Perth,355,507.5,,,,,,,,
2010,2,201002,Karratha,Perth,Karratha - Perth,368,526.1,,,,,,,,
2010,2,201002,Launceston,Melbourne,Launceston - Melbourne,103,147.3,,,,,,,,
2010,2,201002,Launceston,Sydney,Launceston - Sydney,210,300.1,,,,,,,,
2010,2,201002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196,280.2,,,,,,,,
2010,2,201002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258,368.8,,,,,,,,
2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136,194.4,,,,,,,,
2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150,214.4,,,,,,,,
2010,2,201002,Melbourne,Perth,Melbourne - Perth,358,511.8,,,,,,,,
2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66,94.4,,,,,,,,
2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150,214.4,,,,,,,,
2010,2,201002,Paraburdoo,Perth,Paraburdoo - Perth,429,613.3,,,,,,,,
2010,2,201002,Perth,Newman,Perth - Newman,358,511.8,,,,,,,,
2010,2,201002,Perth,Port Hedland,Perth - Port Hedland,328,468.9,,,,,,,,
2010,2,201002,Perth,Sydney,Perth - Sydney,434,620.5,,,,,,,,
2010,2,201002,Port Macquarie,Sydney,Port Macquarie - Sydney,158,225.9,,,,,,,,
2010,2,201002,Sydney,Tamworth,Sydney - Tamworth,225,321.7,,,,,,,,
2010,2,201002,Sydney,Townsville,Sydney - Townsville,248,354.5,,,,,,,,
2010,2,201002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214,305.9,,,,,,,,
2010,2,201002,Newcastle,Gold Coast,Newcastle - Gold Coast,110,157.3,,,,,,,,
2010,3,201003,Adelaide,Brisbane,Adelaide - Brisbane,238,340.3,,,,,,,,
2010,3,201003,Adelaide,Canberra,Adelaide - Canberra,274,391.7,,,,,,,,
2010,3,201003,Adelaide,Darwin,Adelaide - Darwin,378,540.4,,,,,,,,
2010,3,201003,Adelaide,Gold Coast,Adelaide - Gold Coast,156,223,,,,,,,,
2010,3,201003,Adelaide,Melbourne,Adelaide - Melbourne,86,122.9,,,,,,,,
2010,3,201003,Adelaide,Perth,Adelaide - Perth,358,511.8,,,,,,,,
2010,3,201003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,213,304.3,,,,,,,,
2010,3,201003,Adelaide,Sydney,Adelaide - Sydney,106,151.5,,,,,,,,
2010,3,201003,Albury,Sydney,Albury - Sydney,174,248.8,,,,,,,,
2010,3,201003,Alice Springs,Darwin,Alice Springs - Darwin,428,611.9,,,,,,,,
2010,3,201003,Alice Springs,Melbourne,Alice Springs - Melbourne,226,323.1,,,,,,,,
2010,3,201003,Alice Springs,Sydney,Alice Springs - Sydney,498,712,,,,,,,,
2010,3,201003,Avalon,Brisbane,Avalon - Brisbane,278,397.4,,,,,,,,
2010,3,201003,Avalon,Sydney,Avalon - Sydney,98,140.1,,,,,,,,
2010,3,201003,Ayers Rock,Cairns,Ayers Rock - Cairns,698,997.9,,,,,,,,
2010,3,201003,Ayers Rock,Sydney,Ayers Rock - Sydney,714,1020.8,,,,,,,,
2010,3,201003,Ballina,Sydney,Ballina - Sydney,188,268.8,,,,,,,,
2010,3,201003,Brisbane,Cairns,Brisbane - Cairns,258,368.8,,,,,,,,
2010,3,201003,Brisbane,Canberra,Brisbane - Canberra,193,275.9,,,,,,,,
2010,3,201003,Brisbane,Darwin,Brisbane - Darwin,274,391.7,,,,,,,,
2010,3,201003,Brisbane,Emerald,Brisbane - Emerald,316,451.8,,,,,,,,
2010,3,201003,Brisbane,Gladstone,Brisbane - Gladstone,218,311.7,,,,,,,,
2010,3,201003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138,197.3,,,,,,,,
